City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,santiago de cao,-7.9589,-79.2392,75.33,73,0,13.8,PE,1686601683
133,lihue,21.9789,-159.3672,81.64,78,100,12.66,US,1686601389
134,ketchikan,55.3422,-131.6461,61.27,72,100,10.36,US,1686601394
135,manturovo,58.3353,44.7619,48.36,71,10,2.68,RU,1686601684
136,shalqar,47.8333,59.6,79.65,15,62,10.69,KZ,1686601684
137,baiti,13.745,-14.7482,99.64,25,59,3.29,SN,1686601685
138,dumai,1.6833,101.45,75.36,97,93,2.55,ID,1686601685
139,amparafaravola,-17.5833,48.2167,58.42,91,5,1.83,MG,1686601686
140,stephenville,32.2207,-98.2023,81.93,73,100,11.5,US,1686601526
141,tobelo,1.7284,128.0095,79.68,82,100,3.83,ID,1686601687
142,mukalla,14.5425,49.1242,90.91,68,89,6.29,YE,1686601687
143,sungailiat,-1.85,106.1333,80.74,84,76,9.78,ID,1686601688
144,mezhdurechenskiy,59.6,65.9333,42.67,61,14,6.6,RU,1686601689
145,puerto ayora,-0.7393,-90.3518,87.76,87,48,4.0,EC,1686601689
146,salekhard,66.53,66.6019,38.43,64,16,7.67,RU,1686601689
147,hirara,24.8,125.2833,79.07,94,75,9.22,JP,1686601689
148,alo,7.4178,6.7371,76.42,89,97,1.88,NG,1686601401
149,fale old settlement,-9.3852,-171.2468,83.37,77,9,13.98,TK,1686601690
150,hithadhoo,-0.6,73.0833,82.98,73,85,2.8,MV,1686601690
151,vila velha,-20.3297,-40.2925,78.75,84,40,12.66,BR,1686601622
152,nadym,65.5333,72.5167,32.88,86,58,13.67,RU,1686601692
153,yujing,23.1249,120.4614,83.66,99,100,3.56,TW,1686601692
154,sinabang,2.4803,96.3801,79.74,80,53,0.47,ID,1686601692
155,sorong,-0.8833,131.25,78.28,86,100,2.82,ID,1686601692
156,mount pearl,47.5166,-52.7813,46.85,88,100,18.41,CA,1686601693
157,lata,40.1629,-8.3327,67.82,94,5,3.02,PT,1686601693
158,pisco,-13.7,-76.2167,75.25,57,0,32.21,PE,1686601693
159,mazatlan,23.2167,-106.4167,89.56,68,0,11.5,MX,1686601694
160,dryden,49.7833,-92.7503,79.09,25,0,3.44,CA,1686601694
161,zakynthos,37.7914,20.8953,70.92,83,20,0.0,GR,1686601694
162,mali,12.079,-12.2982,68.45,72,72,3.94,GN,1686601694
163,cockburn town,21.4612,-71.1419,82.63,82,93,17.94,TC,1686601512
164,mount isa,-20.7333,139.5,47.97,76,40,0.0,AU,1686601695
165,katsuren-haebaru,26.3369,127.8719,81.37,100,100,10.36,JP,1686601695
166,mogadishu,2.0371,45.3438,79.25,85,98,19.46,SO,1686601696
167,carnarvon,-24.8667,113.6333,59.14,45,0,16.28,AU,1686601696
168,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,62,0,8.95,RU,1686601697
169,kadugli,11.0167,29.7167,85.71,52,71,2.91,SD,1686601698
170,longyearbyen,78.2186,15.6401,33.64,93,100,9.22,SJ,1686601698
171,columbiana,40.8884,-80.694,62.92,82,100,3.0,US,1686601432
172,richmond,37.5538,-77.4603,80.76,74,75,12.66,US,1686601517
173,colonia,50.9333,6.95,76.86,42,0,4.61,DE,1686601457
174,miyaly,48.8844,53.7836,80.17,23,98,12.21,KZ,1686601700
175,uruacu,-14.5247,-49.1408,82.49,42,77,4.21,BR,1686601700
176,inarajan village,13.2736,144.7484,83.37,83,97,15.57,GU,1686601700
177,san antonio de pale,-1.4014,5.6325,76.37,88,78,7.02,GQ,1686601701
178,knysna,-34.0363,23.0471,55.56,74,99,12.84,ZA,1686601701
179,smithers,54.7804,-127.1743,73.72,35,75,9.22,CA,1686601505
180,pucheng,27.9233,118.5333,72.12,82,100,1.36,CN,1686601702
181,tosontsengel,48.7567,98.2839,56.23,82,55,0.96,MN,1686601702
182,walvis bay,-22.9575,14.5053,57.09,94,0,4.61,NA,1686601702
183,touros,-5.1989,-35.4608,79.56,79,1,13.33,BR,1686601703
184,lakatoro,-16.0999,167.4164,75.69,87,100,8.95,VU,1686601703
185,nishinoomote,30.7333,131.0,74.59,90,93,4.63,JP,1686601703
186,karratha,-20.7377,116.8463,66.7,41,0,11.45,AU,1686601704
187,masterton,-40.9597,175.6575,39.31,95,4,2.13,NZ,1686601704
188,belyy yar,53.6039,91.3903,49.89,100,1,2.24,RU,1686601704
189,arroyo,41.6096,-4.7969,61.14,86,20,16.11,ES,1686601705
190,scone,56.4194,-3.4051,66.52,83,35,3.0,GB,1686601705
191,mendi,-6.1761,143.6513,53.98,97,53,2.59,PG,1686601705
192,atafu village,-8.5421,-172.5159,82.92,77,24,12.93,TK,1686601706
193,el calafate,-50.3408,-72.2768,36.54,71,100,8.28,AR,1686601707
194,san andres,12.5847,-81.7006,87.82,79,40,11.5,CO,1686601707
195,nyagan,62.1406,65.3936,40.95,62,22,1.25,RU,1686601707
196,port mathurin,-19.6833,63.4167,76.98,70,84,17.85,MU,1686601707
197,inhambane,-23.865,35.3833,70.16,86,0,11.83,MZ,1686601708
198,hammerfest,70.6634,23.6821,46.85,76,75,19.57,NO,1686601708
199,idritsa,56.3316,28.8988,52.7,64,84,5.19,RU,1686601709
200,kristiansund,63.1115,7.732,60.85,67,75,9.22,NO,1686601709
201,klyuchi,52.2667,79.1667,60.51,82,92,8.9,RU,1686601710
202,santa maria,-29.6842,-53.8069,52.9,50,0,3.44,BR,1686601711
203,neuhaus,49.144,15.003,56.89,87,4,6.2,CZ,1686601711
204,shubarshi,48.5872,57.1869,79.36,21,100,11.12,KZ,1686601711
205,portland,45.5234,-122.6762,87.57,50,20,4.0,US,1686601711
206,egilsstadir,65.2653,-14.3948,53.51,54,0,24.16,IS,1686601712
207,rio grande,-32.035,-52.0986,51.91,53,3,10.94,BR,1686601615
208,tibiri,13.5627,7.0485,91.02,41,85,8.75,NE,1686601712
209,dawson creek,55.7666,-120.2362,76.64,27,20,14.97,CA,1686601713
210,altamira,-3.2033,-52.2064,89.69,66,40,5.75,BR,1686601494
211,ivdel',60.6911,60.4206,41.31,69,64,4.34,RU,1686601713
212,ludington,43.9553,-86.4526,59.22,56,0,5.75,US,1686601604
213,tucumcari,35.1717,-103.725,75.94,64,40,17.27,US,1686601714
214,mrakovo,52.7161,56.6244,56.23,64,100,13.11,RU,1686601715
215,al buraymi,24.2509,55.7931,94.42,31,0,5.75,OM,1686601715
216,troitsko-pechorsk,62.7084,56.1964,49.15,71,100,5.99,RU,1686601715
217,ballina,-28.8667,153.5667,52.79,90,9,4.21,AU,1686601716
218,port lincoln,-34.7333,135.8667,55.76,68,61,23.11,AU,1686601716
219,tolanaro,-25.0319,46.9987,71.67,94,20,11.5,MG,1686601716
220,holualoa,19.6228,-155.9522,77.56,86,40,10.36,US,1686601717
221,bocas del toro,9.3333,-82.25,86.11,68,17,8.01,PA,1686601717
222,toccoa,34.5773,-83.3324,83.16,53,0,11.5,US,1686601717
223,nola,40.922,14.5329,71.64,94,55,2.19,IT,1686601719
224,igarka,67.4667,86.5833,41.81,88,47,9.55,RU,1686601719
225,lambarene,-0.7001,10.2406,75.15,93,94,3.09,GA,1686601719
226,la ronge,55.1001,-105.2842,71.85,33,100,11.5,CA,1686601720
227,jertih,5.7336,102.4897,76.84,91,34,4.21,MY,1686601720
228,midleton,51.9153,-8.1805,66.13,92,82,2.04,IE,1686601720
229,dapa,9.7594,126.0531,83.07,72,100,6.17,PH,1686601721
230,la junta,37.985,-103.5438,71.89,53,75,23.02,US,1686601721
231,susuman,62.7833,148.1667,65.97,53,100,2.86,RU,1686601721
232,dano,11.15,-3.0667,84.22,58,100,7.94,BF,1686601722
233,mana,5.6592,-53.7767,81.63,84,59,9.48,GF,1686601722
234,tazacorte,28.629,-17.9293,74.16,71,75,13.8,ES,1686601722
235,acapulco de juarez,16.8634,-99.8901,91.22,62,40,12.66,MX,1686601612
236,taoudenni,22.6783,-3.9836,101.39,10,0,8.63,ML,1686601723
237,chonchi,-42.6128,-73.8092,47.41,79,19,2.44,CL,1686601723
238,port alfred,-33.5906,26.891,57.18,76,100,5.01,ZA,1686601516
239,flying fish cove,-10.4217,105.6791,78.48,88,75,13.8,CX,1686601628
240,avarua,-21.2078,-159.775,77.05,88,95,3.44,CK,1686601725
241,vorgashor,67.5833,63.95,38.01,54,94,3.71,RU,1686601725
242,roosevelt,33.9668,-103.4505,71.82,16,17,7.52,US,1686601725
243,afaahiti,-17.75,-149.2833,80.47,74,63,19.06,PF,1686601726
244,merritt,50.1123,-120.7942,87.33,29,18,1.99,CA,1686601726
245,disa,24.25,72.1667,87.17,61,48,10.83,IN,1686601727
246,cabo san lucas,22.8909,-109.9124,94.3,22,0,6.91,MX,1686601572
247,el porvenir,13.7617,-87.3458,90.73,60,100,0.94,HN,1686601727
248,shenjiamen,29.9576,122.298,70.92,96,100,6.46,CN,1686601727
249,formosa do rio preto,-11.0483,-45.1931,89.71,28,3,6.8,BR,1686601566
250,cidreira,-30.1811,-50.2056,54.27,61,100,10.98,BR,1686601728
251,laojunmiao,39.8333,97.7333,65.48,25,0,8.34,CN,1686601656
252,naduvattam,11.4833,76.5667,56.79,91,100,4.34,IN,1686601729
253,pingliang,35.5392,106.6861,60.66,45,10,3.33,CN,1686601730
254,luena,-11.7833,19.9167,68.18,45,7,3.44,AO,1686601730
255,nogliki,51.8333,143.1667,41.61,99,100,2.35,RU,1686601730
256,ostersund,63.1792,14.6357,63.05,31,0,16.11,SE,1686601731
257,northam,51.0333,-4.2167,61.39,89,47,4.92,GB,1686601657
258,kingsford,-33.924,151.2275,56.77,86,0,5.75,AU,1686601732
259,tabalosos,-6.35,-76.6833,82.6,80,55,2.91,PE,1686601733
260,san patricio,28.017,-97.5169,100.17,43,0,17.02,US,1686601733
261,poronaysk,49.2167,143.1167,47.03,98,100,4.83,RU,1686601733
262,lewistown,40.5992,-77.5714,70.16,97,100,13.8,US,1686601734
263,bonthe,7.5264,-12.505,78.3,86,100,7.49,SL,1686601734
264,puerto penasco,31.3167,-113.5333,72.91,83,0,11.99,MX,1686601735
265,jinchang,38.4953,102.1739,68.4,29,0,2.98,CN,1686601735
266,lazaro cardenas,17.9583,-102.2,88.43,56,7,11.68,MX,1686601736
267,nikopol,47.5712,34.3964,63.55,86,83,19.75,UA,1686601736
268,el eulma,36.1528,5.6902,65.01,61,100,9.66,DZ,1686601737
269,saint-philippe,-21.3585,55.7679,71.19,77,0,7.36,RE,1686601737
270,wynyard,-41.0,145.7167,53.98,82,100,11.54,AU,1686601644
271,sault ste. marie,46.5168,-84.3333,52.36,96,100,11.5,CA,1686601470
272,abepura,-2.6333,140.5833,76.01,88,20,2.3,ID,1686601738
273,kingston,17.997,-76.7936,91.24,61,20,23.02,JM,1686601633
274,inari,68.906,27.0288,61.0,51,100,14.05,FI,1686601739
275,beyneu,45.3167,55.2,83.8,15,100,9.98,KZ,1686601740
276,camayenne,9.535,-13.6878,78.89,94,75,4.61,GN,1686601740
277,cabedelo,-6.9811,-34.8339,79.47,82,0,11.34,BR,1686601740
278,bacuyangan,9.637,122.4721,79.47,83,12,2.04,PH,1686601740
279,leava,-14.3,-178.1667,81.84,79,91,17.05,WF,1686601741
280,ampelona,39.75,22.3667,66.27,100,75,0.0,GR,1686601741
281,moyynkum,44.2914,72.9469,73.24,17,36,19.66,KZ,1686601742
282,flin flon,54.7682,-101.865,84.04,26,100,10.36,CA,1686601742
283,harstad,68.799,16.5293,48.15,89,26,21.99,NO,1686601743
284,bandarbeyla,9.4942,50.8122,78.51,82,100,31.81,SO,1686601743
285,port-gentil,-0.7193,8.7815,76.96,88,20,6.91,GA,1686601744
